word,is_toxic
Daniel575#Outside,0
php?title,0
Greetings!Welcome,0
!Hello,0
cfm?product_id,0
cfm?product_id,0
NOT#Wikipedia,0
filmoseries#tt1327666,0
nleobold@msn,0
her!b,0
lee@damfine,0
Phoe#Templates,0
Ed_g2s#S,0
6#Russian_questions,0
mutaleby@yahoo,0
SOCK#Interview,0
CIVILITY#Policy,0
policy#Signpost,0
CIVILITY#Policy,0
Autobiography#Creating_an_article_about_yourself,0
Cold_fusion#New_article,0
story?id,0
slideshow?url,0
php?title,0
cfm?itemid,0
watch?v,0
watch?v,0
php?title,0
rudy@stealthaccess,0
UP!vv,1
books?ei,0
Archive_2#Raju_caste_and_Kshatriya_status,0
person#RfC,0
2006_December_9#Template,0
Sex#Rewrite,0
Biology#Sex,0
topics#Sex,0
2006_August_26#Category,0
Headcheese!Chord2,0
SALT!he,1
randi@randi,0
F#5,0
Mount_Hood#Climbing_Records,0
side?i,0
tags#Fair,0
ogg#REDIRECT,0
aspx?Channel,0
aspx?articleID,0
php?profile,0
ChatMe!ReadMe,0
_Hawks#John_D,0
OTRS#Permissions,0
1812#May,0
dll?p,0
person#RfC,0
company?75,0
watch?v,0
watch?v,0
13843046_DmCc48#1015380438_VcjCs,0
13843046_DmCc48#1015392289_xMWSN,0
13843046_DmCc48#1015392289_xMWSN,0
watch?v,0
watch?v,0
watch?v,0
watch?v,0
watch?v,0
mile#Definition,0
Clarification_and_Amendment#Result_of_the_appeal_by_,0
Irate@217,0
html#ixzz0KV5HhLPQ,0
mind!I,0
NFCC#10,0
you!74,0
php?title,0
Images#Using,0
Why?Korsentry,0
healthcare@jiscmail,0
php?title,0
Toyotomi_Hideyoshi#Cultural_point_of_interest,0
AN3#User,0
I#SPA,0
COIN#SPAs,0
65#Roster,0
Moonriddengirl#Commissioned,0
UP#NOT,0
opinion?Talk,0
books?id,0
books?id,0
books?id,0
books?id,0
books?id,0
books?id,0
books?id,0
0CE0QuwUwAw#v,0
o!i,0
bafc?s,0
books?id,0
tags#Fair,0
COPYREQ#Declaration_of_consent_for_all_enquiries,0
shit!Be,0
LMCLEARIE7@aol,0
lensman137@sbcglobal,0
mann@gmail,0
d14947@gmail,0
rmt@protium,0
dwishnie@aol,0
sirag@mindspring,0
fred@fredalanwolf,0
rebeccapaxton@mac,0
mistake?76,0
AutoWikiBrowser#Rules,0
it?Small,0
Aviation_accident_task_force#Template,0
ICarly#Video,0
watch?v,0
around!Is,1
tags#Fair,0
templates#Sandbox,0
Services#New_timetables,0
Jules_Verne#Couple_changes,0
racist!99,1
Stoepel#Edit,0
G#m,0
G#m,0
Categorization#Use_of_Category,0
search?q,0
cfm?fuseaction,0
jsp?n,0
Contents#For_editors,0
you!Hi,0
persons#Criticism,0
tags#Fair_use,0
aspx?225318,0
DL5MDA#42_Articles,0
Style#Hyphen,0
Archive_1#Indefinitely_blocked,0
jsp?pid,0
this?there,1
SC_Dynamo_Berlin#protection,0
CSD#F9,0
mavismaumee@aol,0
different?115,0
BLP#Non,0
OSHO#Rich,0
pedophiles?I,1
16yrold!nor,1
12yrold!nor,1
SICK!VERY,1
stop!220,1
UCflzZavQgQbHuOXYzP93xSg?feature,0
truth!203,0
dtip@telekom,0
walton_m@hotmail,0
92#Facebook,0
markjacobs8@comcast,0
aspx?id,0
Incidents#Disruptive,0
ArcAngel#Sockpuppetry,0
images?hl,0
oswald_king24@yahoo,0
Free_France#Syria_and_East_Africa,0
POWs#Vichy,0
not#Wikipedia,0
Semitism#Sourcing_claims_for_,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
SAGET!OH,0
Q#0,0
Q#1,0
Q#2,0
Q#3,0
Q#4,0
Q#5,0
Q#6,0
Q#7,0
Q#8,0
james_hernon@hotmail,0
IncidentArchive658#User,0
IncidentArchive658#User,0
Radh#Talk,0
Peekskill_Riots#Recent_Revisions,0
Radh#Paul_Robeson_2,0
menton576@yahoo,0
info@krsaborio,0
titles#English,0
lasso?section,1
cfm?CODE,0
ALBUM#Charts,0
Administrators#Administrators_are_accountable,0
phtml?title,0
Places#when,0
Greek_alphabet#External_links,0
father?86,0
nb_sb_noss?url,0
html?searchtype,0
end?cmtag,0
do?searchUID,0
tags#Fair,0
again!Finally,1
again!At,1
Shock!Shock,0
!Shock,0
this!203,0
related_topics#NFA_move_request,0
good!92,1
nationalism?Ultra,1
nations?And,1
SDP?Where,1
?Name,1
Ustashe?Citation,1
clothes?Are,1
Ustashe?By,1
php?title,0
php?f,0
365#p365,0
dyn?node,0
T@1k,0
tags#Fair,0
writers#Authority,0
Bank#RfC,0
Ninjatō#Ninjaken,0
Rms125a@hotmail,0
Rms125sa@hotmail,0
Rms125a@hotmail,0
Requests_for_checkuser_Case_Rms125a@hotmail,0
php?aid,0
html?item,0
php?id,0
story?id,0
Engine?Account,0
WikiProject_Judaism#Template,0
php?title,0
Electric#All,0
MOS#Images,0
ojonelson2012@yahoo,0
dll?p,0
Football#Unofficial,0
Hoagie_archive#Merger_proposal,0
search?rlz,0
An9A7Kq81cAtMLPa6rymzNE9Eo14?slug,0
wrong?i,0
Clarification_and_Amendment#Amendment_request,0
php?title,0
2?Why,0
Media_copyright_questions#Protein_Data_Bank,0
debates@asbl,0
wholeworldcalendar@gmail,0
Banning_policy#Clarification_in_the_interaction_between_site_and_interaction_ban,0
Headcheese!Chord2,0
aspx?pc,0
Hboyd76@comcast,0
html#Martin,0
php?title,0
onelove20004j@hotmail,0
t@lk,0
JP#Names,0
watch?v,0
FAQ#Lack_of_neutrality_as_an_excuse_to_delete,0
Humanities#Abbas_and_the_Armenians,0
Requests_for_arbitration#Cla68,0
Police#Why_reiterate_,0
Language#Fictive,0
homework@gmail,0
search?q,0
TFOWR#Rangoon11,0
fortplankhistorian@yahoo,0
ssl#q,0
ssl#q,0
2015_NASCAR_Sprint_Cup_Series#Broadcast_networks_tables,0
SIG#Images,0
ChatMe!ReadMe,0
asp?target,0
121872259#links_to_cedar_city_online,0
watch?v,0
row#Edit,0
reliability?219,0
asp?CategoryID,0
features@highlander,0
books?id,0
0CE8Q6AEwCQ#v,0
deanhostager@mediaone,0
noticeboard#Please,0
page!1996,0
Dread_Locke@hotmail,0
watch?v,0
watch?v,0
watch?v,0
item?id,0
April_Fools_Hack_2012?file,0
aspx?ID,0
you?72,0
asp?privcapId,0
php?title,0
AN3#User,0
sander777777@hotmail,0
Syrian_Civil_War#Israel_attacks_again,0
T@lk,0
php?title,0
noticeboard#WP,0
the_game_ali@hotmail,0
php?title,0
Illyria#Illyria_and_Illyrians_origin,0
b00vj45n#synopsis,0
T@lk,0
excluded?67,0
dll?p,0
GuttyBoy3D@aol,1
watch?v,0
watch?v,0
13843046_DmCc48#1015380438_VcjCs,0
13843046_DmCc48#1015392289_xMWSN,0
13843046_DmCc48#1015392289_xMWSN,0
watch?v,0
watch?v,0
watch?v,0
watch?v,0
watch?v,0
iamv@london,0
29#Rule_of_thumb,0
php?title,0
php?title,0
this?166,0
php?title,0
H#LL,1
asp?Id,0
memnon335bc@freenet,0
books?id,0
razor#History,0
Autobiography#Creating_an_article_about_yourself,0
WikiProject_Astronomical_objects#Category,0
Garvey#Appeal,0
tags#Fair_use,0
Requests#MOSIX_article,0
php?title,1
aspx?id,0
Zabadu#Geraldine_Edwards_is_not_a_hoax,0
T@lk,0
rules?203,0
php?title,0
web#Quote,0
Materialscientist#Ottoneum,0
HUGE!71,1
Rape_culture#Request_for_comment_III,0
Administrators#Proposed,0
php?title,0
Week!Please,0
MOS#Images,0
entries?86,1
watch?v,0
AN3#User,0
EdJohnston#MAS,0
books?id,0
ANI#Malleus_Fatuorum_and_Cornellier,0
Obelisk#20th,0
Chris_Daly#Proposition_to_ban_firearms,0
Case#Controversial_images,0
tags#Fair_use,0
Archive6#Wikipedia,0
tags#Fair,0
ceo@shaansoft,0
Pope#Your_idea_at_Wikipedia,0
php?title,0
php?title,0
search?hl,0
Incidents#Wrong,0
php?title,0
much!talk,0
php?title,0
php?title,0
archive3#What,0
Nazism#About_Basic_Editorial_Ethics_Here,0
Nazism#Page_protection_sought,0
luck!92,0
related_topics#Top_20_projects_with_highest_FAs,0
php?title,0
External_links#Links_normally_to_be_avoided,0
Dominick#Evidence_of_disputed_behavior,0
php#003,1
reel?86,0
php?title,0
finland?filter,0
ign?filter,0
Hi!Himalayan,0
php?title,0
newspapers?id,0
newspapers?id,0
article!72,0
news?id,0
larroca@gm,0
you!185,0
User_pages#Removal_of_comments,0
CALC#Routine_calculations,0
here?68,0
Blocking_policy#When_blocking_may_not_be_used,0
YellowMonkey#Photo_poll,0
mentorship#Continued_harrasment_by_Cool_Cat,0
story?id,0
html?in_article_id,0
BAN#Dealings,0
sources#Sources,0
City#Crime,0
php?url1,0
Grey_Shadow#Years_1900_to_1961_done,0
Citing_sources#When_to_cite_sources,0
Cat#Skin,0
8#Species,0
8#Scientific,0
LEAD#Citations,0
scholar?as_q,0
FGR#11,0
RexxS#Thank_you,0
FUC#2,0
FUC#8,0
NFCC#8,0
Water#Advertising,0
Noticeboard#Workers,0
Genetic_history_of_Europe#European_population_substructure,0
php?title,0
php?title,0
html#GPLIncompatibleLicenses,0
books?id,0
0CCwQ6AEwAg#v,0
FP@S,0
name?174,0
html#real,0
NOT#PLOT,0
NOT#DIRECTORY,0
Disambiguation#Species,0
Kingdom!This,0
NFCC#1,0
Daniel?Thank,0
jsp?db,0
it?134,0
Richi#October_2007,0
MEDMOS#Diseases,0
Vandalism#Types,1
Vandalism#What,1
php?f,0
watch?v,0
aspx?flora_id,0
extract?id,0
watch?v,0
watch?v,0
13843046_DmCc48#1015380438_VcjCs,0
13843046_DmCc48#1015392289_xMWSN,0
13843046_DmCc48#1015392289_xMWSN,0
watch?v,0
watch?v,0
watch?v,0
watch?v,0
watch?v,0
Porpington#Lennon,0
T@lk,0
Welcome!Hello,0
Indian_name#Initials,0
protestant?having,0
electrodynamics#Mergefrom,0
SORRY!90,1
Dispute_resolution_noticeboard#At_Wikipedia,0
ANTIGRAY@cs,0
books?id,0
en#v,0
books?id,0
0CD4Q6AEwAg#v,0
s_atmosphere#Principal_layers,0
tags#Fair_use,0
Incidents#Twinkles,0
S@abre,0
page!11,1
!111,1
lrudin@utsc,0
27_noticeboard#Guidance_Sought,0
noticeboard#Guidance,0
warring#User,0
php?title,0
Paglakahinka#June_2011,1
php?p,0
nonsence?You,0
php?title,0
hockfield@mit,0
hal@sims,0
3RR#User,0
Incidents#Repeated_wholesale_removal_of_info_from_St,0
maps?q,0
Archive_20#Coat_of_Arms,0
Archive_4#UK,0
Archive_4#Scottish,0
Archive_4#Edit,0
Foo#lorem,0
dude!LOL,1
stupid!And,1
reality!84,0
php?title,0
digraph?216,0
aspx?id,0
watch?v,0
masturbation?69,1
RobJ1981#Findings,0
make!If,0
info@rewardsforjustice,0
thousand?Domitius,0
HSQHcPMSkxnTnTkyrPTzcK6LHhry8QKLFyzlh2L2h08vVBxnfBf2!2092430889,0
!181195628,0
!8091,0
1?index,0
org@gmail,0
Verifiability#Questionable_sources,0
Chow?173,0
nathancooperjones@gmail,0
Washington#Automated,0
do?setTab,0
cgi?lang,0
Incidents#Disruptive_users_vandalizing_article_about_Spiro_Koleka,0
Cttone16@yahoo,0
1#q,0
Outreach#Delivery,0
Graeme_Bartlett#Speedy_deletion_of_Web_and_Flo,0
php?page,0
Article?Non,0
read?182,0
P!GS,1
DVdm#Floating_point,0
watch?v,0
chomsky@mit,0
AndrewParodi@aol,0
Cgriffith@mead,0
FAQ#Can,0
Legal_status_of_Internet_pornography#United_States,0
Footnotes#Multiple_insertion_of_the_same_reference,0
Oscar_Wilde#Imprisonment,0
Oscar_Wilde#Early_life,0
php?pid,0
shtml?sourcedomain,0
shot?ALLNP,0
Australia#a,0
asp?sDate,0
php?Page,0
Ridgway?anv,0
players?s,0
asp?bioID,0
noticeboard#Request,0
php?aid,0
asp?cmio,0
Numismatics#Standardized,0
tags#Fair_use,0
php?title,1
watch?v,0
review#Image,0
Art#Los,0
T@lk,0
php?title,0
php?news,0
forum?hee,0
tutorial#Do,0
Places#new,0
South_Africa_under_apartheid#Adding_of_YouTube,0
php?title,0
etomcat@freemail,0
Requesting_copyright_permission#When_permission_is_confirmed,0
aspx?aid,0
php?ud,0
php?ud,0
Biographies_of_living_persons#Avoid_misuse_of_primary_sources,0
26#OTRS,0
Categories_for_discussion#Question_regarding_categories,0
0287221?pf_rd_m,0
pen#Queried,0
objects#ESO,0
please?96,0
MOSNUM#Full_date_formatting,0
you!Dakota,0
html#BrigitteBorchert,0
html#PauletteDubostYoung,0
cfm?pid,0
html#LelitaRosa,0
html#IsuzuYamada,0
49792992@N02,0
39#Astrological,0
2006_November_7#Category,0
2006_December_25#Category,0
gaunkars@gmail,0
T@1k,0
Jimbo_Wales#Grievance,0
cfm?id,0
here?91,0
records#Most,0
records#Most,0
sideaway?i,0
Fact#Initial_definition,0
DRN#Talk,0
Church#Org_Template_,0
tags#Fair_use,0
incident#Requested,0
idiot!68,1
hahahaha!68,0
Commodore_Sloat#Orwellian,0
Kernel_density_estimation#Definition,0
watch?v,0
tags#Fair_use,0
Religious_significance_of_Jerusalem#mediation,0
php?title,0
Requests#Men,0
Requests#Requests,0
Qworty#BLP,0
City_Year#References,0
Madurai#Religious,0
php?title,0
516333723#The_morning_after,0
IZAK#Meshullam,0
cumswallow@hotmail,0
Humanity_and_Paper_Balloons#Name_of_the_seller_of_goldfish,0
Proposed_decision#Edit_wars_or_re,0
valentino669@msn,0
field@ic,0
field@ic,0
newyork@fbi,0
Questions#Help,0
titles#Use,0
titles#Precision,0
Paganism#Moved,0
Paganism#Moved,0
CSD#A9,0
Group_B#External_links,0
TALKING!78,0
relevant?209,0
TALK#Others,0
included?66,0
2013_February_9#Chess,0
BLP#Sources,0
love!Email,0
buddymcd@googlemail,0
Incidents#WP,0
tags#Fair_use,0
Tiger_I#Mobility_and_Reliability,0
WQA#user,0
php?title,0
Wales#Should,0
Wikipedia!Unfortunately,0
Sorry!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
!Sorry,0
Beliefs#Political_ideologies,0
Userbox_debates#Template,0
link?How,1
the_fp_top_100_global_thinkers?page,0
40#thinker61,0
GEO#type,0
guidelines#User,0
php?name,0
Greek!The,0
Epirus!My,0
James_I_of_England#Category,0
evidence?96,0
2008_March_1#Fizber_,0
tags#Fair,0
t@lk,0
Edit_warring#User,0
research!You,1
Verifiability#Questionable_sources,0
Verifiability#Self,0
archiving?rrie,0
RS#Exceptions,0
yewww!go,1
protected?64,0
wrestle?he,1
Racism_in_Israel#Black_Hebrew_Israelite_immigration,0
BUSINESS!ref,1
php?title,0
cfm?fobjectid,0
Footnotes#Citing_a_footnote_more_than_once,0
pghbridges@hotmail,0
Durrah#NPOV_in_light_of_the_Karsenty_verdict,0
Arles#Archaeology,0
watch?v,0
php?ip1,0
0287221?ie,0
fucker!126,1
Church#Long_version,0
php?title,0
openurl?ctx_ver,0
en@wikimedia,0
Sevilla_FC#Current_squad,0
joke_#1,0
joke_#2,0
joke_#2,0
Johnfos#The_Signpost,0
Barack_Obama#No_Criticism_Section,0
II#Gameplay,0
VG#Featured,0
Davidruben#Guido_,0
html?playerId,0
deletion#C1,0
voting!Hello,0
songs?order,0
misc2#Template_for_articles_Japanese_terms,0
Layout#Horizontal,0
search?hl,1
Race_and_intelligence#Score_convergence,0
mmckern@optusnet,0
php?title,0
php?title,0
books?id,0
0CBsQ6AEwADgU#v,0
books?id,0
0CCIQ6AEwATge#v,0
ht?p,0
php?title,0
cgi?A,0
Jayfraser@fraser,0
watch?v,0
Wiki?89,0
Signatures#Customizing,0
better?i,0
Archive_2#Election_campaign_articles,0
8488600?v,0
Holocaust#Motivation,0
29#Disputed_issues,0
Indian_Point_Energy_Center#Third_opinion,0
php?title,0
php?title,0
CAPTIONS#Drawing_the_reader_into_the_article,0
php?title,0
Real#Order,0
php?title,0
Bochasanwasi_Shri_Akshar_Purushottam_Swaminarayan_Sanstha#Lead_Section_Neutrality,0
Dozenist#Bot_to_update_articles,0
teresaaf@infomed,0
DYK#BabbaQ,0
php?title,0
tags#Fair,0
enough?http,0
sr_1_2?ie,0
username?Co,0
NOT#Wikipedia_is_not_a_blog,0
php?f,0
Mumbai#Poll,0
clar#irsentience,0
2008#Chhe,0
php?title,0
books?id,0
0CDYQ6AEwBWoVChMI_qekx_jixwIViJMeCh0VmglK#v,0
charge?68,1
ChatMe!ReadMe,0
114746305242314?ref,0
information!Miagirljmw14,0
html?mod,0
html?mod,0
html?mod,0
en@wikimedia,0
w@thing,0
php?content,0
php?title,0
cgi?id,0
Tiptoety#A_follow,0
Deletion_guidelines_for_administrators#Rough_consensus,0
watch?v,0
watch?v,0
Verifiability#Burden_of_evidence,0
py?doi,0
php?route,0
me!I,0
week!I,0
long!is,0
Tmbox#Accessibility,0
idiot!Get,1
Cabal#Comments,0
books?id,0
0CEsQ6AEwBA#v,0
fuck!ng,1
fuck!ng,1
fuck!ng,1
fuck!ng,1
d!ck,1
php?title,0
Style#Article,0
love?81,0
dick!86,1
G#7,0
G#7,0
watch?v,0
when?her,0
6#Brotherhood,0
arbitration#Vicente,0
Threaded_code#modern_CPU_call,0
ANI#HalfShadow,0
Manuale_di_stile#Minuscolo,0
T@lk,0
Otto4711#06_December_2011,0
here?220,0
Categorization#Articles,0
php?title,1
persons#Criticism,0
kaptinavenger@gmail,0
Harassment#Wikihounding,1
sports#Major,0
sports#List,0
sports#List,0
Wasdwasdwasd123#November_2013,0
php?title,1
tags#Fair_use,0
Hinduism_and_the_Sikh_Panth#Sources,0
paradoxes#Economy,0
tags#Fair_use,0
protester#Requested,0
d47e270e55141009?hl,0
cr@p,1
php?title,0
fact?203,0
British_heavy_tanks_of_World_War_I#Mark_V_series_use_in_Berlin_1945,0
strength357@aol,0
PalaceGuard008#User,1
Rannpháirtí_anaithnid#not_edit_warring,0
php?option,0
mandy@mandyhall,0
show?I,0
County?Also,0
User_conduct#Use_of_administrator_privileges,0
books?id,0
Signa?Lo,0
Signa?Lo,0
asteinberg@southend,0
assistance#Carl,0
GuttyBoy3D@aol,1
Hugo_Chávez#Relation_with_Carlos_the_Jackal,0
too?Are,0
Case_Western_Reserve_University#Music,0
post?129,0
php?title,1
me?96,0
leave@message,0
born?do,0
php?title,0
php?title,0
tags#Fair_use,0
blocked?Malke2010,0
life!68,0
cgi?pageid,0
tags#Fair,0
Yogo_sapphire#Lookee_here,0
forking#Article,0
tags#Fair,0
BITCH!BUUUUUUUUUUURN,1
php?title,0
person!Barry,0
snowrail@gmail,0
system#Process,0
Madonna?Others,0
added?Thank,0
you!thesweetlamb,0
Capital_letters#Dutch_and_German_surnames_van_,0
